"","unique.cellid","unique.tissueid","CGP.cellid","CCLE.cellid","GSK.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","GDSC_rnaseq.cellid","CCLE_exome.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","GDSC1000.cellid","NCI60.cellid","PRISM.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Cescon.cellid","Ben_Neel.tissueid","COSMIC.tissueid","CTRPv2.tissueid","gCSI.tissueid","GDSC1000.tissueid","Cleveland.cellid","Cleveland.tissueid","FIMM.cellid","FIMM.tissueid","NCI60.tissueid","PRISM.tissueid","Cellosaurus.Accession.id","PharmacoDB.id","GDSC_Exome.cellid","unique.tissueid.fromstudies","Cellosaurus.Disease.Type","CellLine.Type","Metastatic","DepMap.cellid","MITMel.cellid","MITMel.tissueid","VISAGE.cellid","VISAGE.tissueid"
"1","105KC","Bone",NA,NA,NA,NA,"105KC",NA,NA,NA,NA,NA,NA,NA,NA,"105KC",NA,NA,NA,NA,NA,NA,NA,"Cartilage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_M605","105KC_1_2019",NA,"cartilage","Myxoid chondrosarcoma","Cancer cell line",NA,NA,NA,NA,NA,NA
"2","1273/99","Soft Tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_N588","1273/9922021_",NA,NA,NA,NA,NA,"ACH-001270",NA,NA,NA,NA
"3","1321N1","CNS/Brain",NA,"1321N1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1321N1",NA,NA,NA,NA,"central_nervous_system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brain",NA,NA,NA,NA,NA,NA,NA,"CVCL_0110","1321N1_2_2019",NA,"central_nervous_system","Astrocytoma","Cancer cell line",NA,"ACH-001000",NA,NA,NA,NA
"4","143B","Bone",NA,"143B",NA,NA,"143B",NA,NA,"143b",NA,NA,NA,NA,NA,"143B",NA,NA,NA,NA,"bone",NA,NA,"Bone",NA,NA,NA,NA,NA,NA,"bone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2270","143B_3_2019",NA,"bone","Osteosarcoma","Cancer cell line",NA,"ACH-001001",NA,NA,NA,NA
"5","184A1","Breast",NA,NA,NA,"184A1",NA,NA,NA,NA,NA,NA,NA,"184a1",NA,NA,NA,NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_3040","184A1_4_2019",NA,"breast",NA,"Transformed cell line",NA,"ACH-002319",NA,NA,NA,NA
"6","184A1N4","Other",NA,NA,NA,"184A1N4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"184A1N462021_",NA,"breast",NA,NA,NA,NA,NA,NA,NA,NA
"7","184B5","Breast",NA,NA,NA,"184B5",NA,NA,NA,NA,NA,NA,NA,"184b5",NA,NA,NA,NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_4688","184B5_5_2019",NA,"breast",NA,"Transformed cell line",NA,"ACH-001827",NA,NA,NA,NA
"8","1A2","Lymphoid",NA,NA,"1A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hematopoietic_and_lymphatic_system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1A282021_",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA
"9","2004","Kidney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_U759","2004_6_2019",NA,NA,"Rhabdoid tumor of the kidney","Cancer cell line",NA,NA,NA,NA,NA,NA
"10","201T","Lung",NA,NA,NA,NA,NA,NA,"201T","201T",NA,NA,"201T",NA,NA,NA,"201T",NA,NA,NA,NA,NA,NA,NA,NA,"Lung:NSCLC",NA,NA,NA,NA,"lung",NA,NA,"lung",NA,NA,NA,NA,NA,NA,"CVCL_X481","201T_7_2019","201T","lung","Lung adenocarcinoma","Cancer cell line",NA,"ACH-002089",NA,NA,NA,NA
